epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,5738.03,1.13271,1.79622,0.90025,1.19177,0,0.75801,0.6294,0.67338,0.46292,0.61039,0.48776,0.48582,0.30484,1.31565,1.87927,1.05191,1.32398,0,0.000432689,0.000432689,0.000432689
84,5804.94,1.12052,1.7876,0.89033,1.18444,0,0.75719,0.62954,0.6748,0.46486,0.61265,0.48945,0.49049,0.30744,1.31415,1.89024,1.05649,1.32227,0,0.000422449,0.000422449,0.000422449
85,5871.75,1.10485,1.76044,0.87136,1.17558,0,0.75617,0.62055,0.67035,0.45798,0.60808,0.48209,0.48797,0.30497,1.31855,1.8852,1.0692,1.32544,0,0.000412246,0.000412246,0.000412246
86,5938.83,1.10361,1.78123,0.87834,1.1781,0,0.75553,0.63071,0.67414,0.46592,0.61578,0.48846,0.4867,0.30764,1.29707,1.862,1.0433,1.31236,0,0.000402084,0.000402084,0.000402084
87,6005.67,1.11388,1.77638,0.8831,1.18379,0,0.75047,0.6308,0.67487,0.46657,0.61209,0.49284,0.49074,0.30983,1.30401,1.87487,1.05234,1.31673,0,0.000391966,0.000391966,0.000391966
88,6072.63,1.0947,1.75399,0.85723,1.17082,0,0.7484,0.62954,0.67207,0.46133,0.63268,0.48826,0.48908,0.30716,1.32049,1.87077,1.06455,1.33439,0,0.000381899,0.000381899,0.000381899
89,6139.38,1.09811,1.74945,0.86005,1.17226,0,0.74932,0.63367,0.67409,0.46606,0.61816,0.48647,0.48926,0.31092,1.30676,1.89184,1.05145,1.32654,0,0.000371885,0.000371885,0.000371885
90,6206.2,1.09926,1.74864,0.86886,1.1758,0,0.7635,0.63212,0.67818,0.46754,0.61888,0.49216,0.48913,0.30995,1.30285,1.86035,1.0423,1.32273,0,0.000361929,0.000361929,0.000361929
91,6272.73,1.10209,1.7879,0.86865,1.17446,0,0.75955,0.63191,0.67619,0.4685,0.60867,0.4881,0.4852,0.3075,1.30579,1.88605,1.04614,1.32494,0,0.000352037,0.000352037,0.000352037
92,6339.38,1.0835,1.7506,0.84852,1.16152,0,0.75428,0.63554,0.67787,0.46732,0.62672,0.49351,0.49755,0.31516,1.31189,1.87842,1.04493,1.33155,0,0.000342211,0.000342211,0.000342211
93,6406.1,1.07014,1.71681,0.8257,1.15296,0,0.76356,0.63318,0.67646,0.46985,0.62058,0.49354,0.49485,0.31335,1.30425,1.86972,1.03587,1.32065,0,0.000332457,0.000332457,0.000332457
94,6472.68,1.06123,1.69847,0.81719,1.15164,0,0.77143,0.62628,0.6754,0.4659,0.61447,0.48665,0.48834,0.30792,1.30859,1.86878,1.04372,1.33212,0,0.000322778,0.000322778,0.000322778
95,6539.29,1.07069,1.70971,0.8266,1.15788,0,0.75942,0.63285,0.6746,0.46736,0.61285,0.48765,0.48635,0.30796,1.30849,1.8721,1.04471,1.32488,0,0.00031318,0.00031318,0.00031318
96,6605.47,1.07213,1.71756,0.8251,1.1487,0,0.76056,0.6366,0.67999,0.47043,0.61367,0.49234,0.49231,0.31117,1.3035,1.88969,1.03802,1.32543,0,0.000303665,0.000303665,0.000303665
97,6671.38,1.05524,1.68479,0.81471,1.14679,0,0.76658,0.63173,0.67695,0.46673,0.61765,0.48993,0.49252,0.30909,1.30429,1.88234,1.03829,1.32534,0,0.000294239,0.000294239,0.000294239
